name,state,party,birthplace,congress,start_date,end_date,born_in_state
Abraham Ribicoff,Connecticut,Democratic,Connecticut,96,1979-01-03,1981-01-02,TRUE
Abraham Ribicoff,Connecticut,Democratic,Connecticut,95,1977-01-03,1979-01-02,TRUE
Abraham Ribicoff,Connecticut,Democratic,Connecticut,94,1975-01-03,1977-01-02,TRUE
Abraham Ribicoff,Connecticut,Democratic,Connecticut,93,1973-01-03,1975-01-02,TRUE
Abraham Ribicoff,Connecticut,Democratic,Connecticut,92,1971-01-03,1973-01-02,TRUE
Abraham Ribicoff,Connecticut,Democratic,Connecticut,91,1969-01-03,1971-01-02,TRUE
Abraham Ribicoff,Connecticut,Democratic,Connecticut,90,1967-01-03,1969-01-02,TRUE
Abraham Ribicoff,Connecticut,Democratic,Connecticut,89,1965-01-03,1967-01-02,TRUE
Abraham Ribicoff,Connecticut,Democratic,Connecticut,88,1963-01-03,1965-01-02,TRUE
Absalom Willis Robertson,Virginia,Democratic,West Virginia,89,1965-01-03,1967-01-02,FALSE
Absalom Willis Robertson,Virginia,Democratic,West Virginia,88,1963-01-03,1965-01-02,FALSE
Absalom Willis Robertson,Virginia,Democratic,West Virginia,87,1961-01-03,1963-01-02,FALSE
Absalom Willis Robertson,Virginia,Democratic,West Virginia,86,1959-01-03,1961-01-02,FALSE
Adlai Stevenson III,Illinois,Democratic,Illinois,96,1979-01-03,1981-01-02,TRUE
Adlai Stevenson III,Illinois,Democratic,Illinois,95,1977-01-03,1979-01-02,TRUE
Adlai Stevenson III,Illinois,Democratic,Illinois,94,1975-01-03,1977-01-02,TRUE
Adlai Stevenson III,Illinois,Democratic,Illinois,93,1973-01-03,1975-01-02,TRUE
Adlai Stevenson III,Illinois,Democratic,Illinois,92,1971-01-03,1973-01-02,TRUE
Al D'Amato,New York,Republican,New York,105,1997-01-03,1999-01-02,TRUE
Al D'Amato,New York,Republican,New York,104,1995-01-03,1997-01-02,TRUE
Al D'Amato,New York,Republican,New York,103,1993-01-03,1995-01-02,TRUE
Al D'Amato,New York,Republican,New York,102,1991-01-03,1993-01-02,TRUE
Al D'Amato,New York,Republican,New York,101,1989-01-03,1991-01-02,TRUE
Al D'Amato,New York,Republican,New York,100,1987-01-03,1989-01-02,TRUE
Al D'Amato,New York,Republican,New York,99,1985-01-03,1987-01-02,TRUE
Al D'Amato,New York,Republican,New York,98,1983-01-03,1985-01-02,TRUE
Al D'Amato,New York,Republican,New York,97,1981-01-03,1983-01-02,TRUE
Al Franken,Minnesota,Democratic,New York,115,2017-01-03,2019-01-02,FALSE
Al Franken,Minnesota,Democratic,New York,114,2015-01-03,2017-01-02,FALSE
Al Franken,Minnesota,Democratic,New York,113,2013-01-03,2015-01-02,FALSE
Al Franken,Minnesota,Democratic,New York,112,2011-01-03,2013-01-02,FALSE
Al Franken,Minnesota,Democratic,New York,111,2009-01-03,2011-01-02,FALSE
Al Gore,Tennessee,Democratic,D.C.,102,1991-01-03,1993-01-02,FALSE
Al Gore,Tennessee,Democratic,D.C.,101,1989-01-03,1991-01-02,FALSE
Al Gore,Tennessee,Democratic,D.C.,100,1987-01-03,1989-01-02,FALSE
Al Gore,Tennessee,Democratic,D.C.,99,1985-01-03,1987-01-02,FALSE
Alan Bible,Nevada,Democratic,Nevada,93,1973-01-03,1975-01-02,TRUE
Alan Bible,Nevada,Democratic,Nevada,92,1971-01-03,1973-01-02,TRUE
Alan Bible,Nevada,Democratic,Nevada,91,1969-01-03,1971-01-02,TRUE
Alan Bible,Nevada,Democratic,Nevada,90,1967-01-03,1969-01-02,TRUE
Alan Bible,Nevada,Democratic,Nevada,89,1965-01-03,1967-01-02,TRUE
Alan Bible,Nevada,Democratic,Nevada,88,1963-01-03,1965-01-02,TRUE
Alan Bible,Nevada,Democratic,Nevada,87,1961-01-03,1963-01-02,TRUE
Alan Bible,Nevada,Democratic,Nevada,86,1959-01-03,1961-01-02,TRUE
Alan Cranston,California,Democratic,California,102,1991-01-03,1993-01-02,TRUE
Alan Cranston,California,Democratic,California,101,1989-01-03,1991-01-02,TRUE
Alan Cranston,California,Democratic,California,100,1987-01-03,1989-01-02,TRUE
Alan Cranston,California,Democratic,California,99,1985-01-03,1987-01-02,TRUE
Alan Cranston,California,Democratic,California,98,1983-01-03,1985-01-02,TRUE
Alan Cranston,California,Democratic,California,97,1981-01-03,1983-01-02,TRUE
Alan Cranston,California,Democratic,California,96,1979-01-03,1981-01-02,TRUE
Alan Cranston,California,Democratic,California,95,1977-01-03,1979-01-02,TRUE
Alan Cranston,California,Democratic,California,94,1975-01-03,1977-01-02,TRUE
Alan Cranston,California,Democratic,California,93,1973-01-03,1975-01-02,TRUE
Alan Cranston,California,Democratic,California,92,1971-01-03,1973-01-02,TRUE
Alan Cranston,California,Democratic,California,91,1969-01-03,1971-01-02,TRUE
Alan J. Dixon,Illinois,Democratic,Illinois,102,1991-01-03,1993-01-02,TRUE
Alan J. Dixon,Illinois,Democratic,Illinois,101,1989-01-03,1991-01-02,TRUE
Alan J. Dixon,Illinois,Democratic,Illinois,100,1987-01-03,1989-01-02,TRUE
Alan J. Dixon,Illinois,Democratic,Illinois,99,1985-01-03,1987-01-02,TRUE
Alan J. Dixon,Illinois,Democratic,Illinois,98,1983-01-03,1985-01-02,TRUE
Alan J. Dixon,Illinois,Democratic,Illinois,97,1981-01-03,1983-01-02,TRUE
Alan Simpson,Wyoming,Republican,Colorado,104,1995-01-03,1997-01-02,FALSE
Alan Simpson,Wyoming,Republican,Colorado,103,1993-01-03,1995-01-02,FALSE
Alan Simpson,Wyoming,Republican,Colorado,102,1991-01-03,1993-01-02,FALSE
Alan Simpson,Wyoming,Republican,Colorado,101,1989-01-03,1991-01-02,FALSE
Alan Simpson,Wyoming,Republican,Colorado,100,1987-01-03,1989-01-02,FALSE
Alan Simpson,Wyoming,Republican,Colorado,99,1985-01-03,1987-01-02,FALSE
Alan Simpson,Wyoming,Republican,Colorado,98,1983-01-03,1985-01-02,FALSE
Alan Simpson,Wyoming,Republican,Colorado,97,1981-01-03,1983-01-02,FALSE
Alan Simpson,Wyoming,Republican,Colorado,96,1979-01-03,1981-01-02,FALSE
"Albert Gore, Sr.",Tennessee,Democratic,Tennessee,91,1969-01-03,1971-01-02,TRUE
"Albert Gore, Sr.",Tennessee,Democratic,Tennessee,90,1967-01-03,1969-01-02,TRUE
"Albert Gore, Sr.",Tennessee,Democratic,Tennessee,89,1965-01-03,1967-01-02,TRUE
"Albert Gore, Sr.",Tennessee,Democratic,Tennessee,88,1963-01-03,1965-01-02,TRUE
"Albert Gore, Sr.",Tennessee,Democratic,Tennessee,87,1961-01-03,1963-01-02,TRUE
"Albert Gore, Sr.",Tennessee,Democratic,Tennessee,86,1959-01-03,1961-01-02,TRUE
